Previous,Current,Type,TzName,RowName
tzdata2012a,tzdata2012b,Rule,America/Havana,Cuba
tzdata2012b,tzdata2012c,Zone,Africa/Casablanca,Africa/Casablanca
tzdata2012b,tzdata2012c,Zone,Africa/El_Aaiun,Africa/El_Aaiun
tzdata2012b,tzdata2012c,Zone,Africa/Maputo,Africa/Maputo
tzdata2012b,tzdata2012c,Rule,Africa/Windhoek,Namibia
tzdata2012b,tzdata2012c,Zone,Africa/Windhoek,Africa/Windhoek
tzdata2012b,tzdata2012c,Zone,Africa/Niamey,Africa/Niamey
tzdata2012b,tzdata2012c,Zone,Africa/Lagos,Africa/Lagos
tzdata2012b,tzdata2012c,Zone,Indian/Reunion,Indian/Reunion
tzdata2012b,tzdata2012c,Zone,Africa/Kigali,Africa/Kigali
tzdata2012b,tzdata2012c,Zone,Atlantic/St_Helena,Atlantic/St_Helena
tzdata2012b,tzdata2012c,Zone,Africa/Sao_Tome,Africa/Sao_Tome
tzdata2012b,tzdata2012c,Zone,Africa/Dakar,Africa/Dakar
tzdata2012b,tzdata2012c,Zone,Indian/Mahe,Indian/Mahe
tzdata2012b,tzdata2012c,Rule,Africa/Freetown,SL
tzdata2012b,tzdata2012c,Zone,Africa/Freetown,Africa/Freetown
tzdata2012b,tzdata2012c,Zone,Africa/Mogadishu,Africa/Mogadishu
tzdata2012b,tzdata2012c,Rule,Africa/Johannesburg,SA
tzdata2012b,tzdata2012c,Zone,Africa/Johannesburg,Africa/Johannesburg
tzdata2012b,tzdata2012c,Rule,Africa/Khartoum,Sudan
tzdata2012b,tzdata2012c,Zone,Africa/Khartoum,Africa/Khartoum
tzdata2012b,tzdata2012c,Zone,Africa/Juba,Africa/Juba
tzdata2012b,tzdata2012c,Zone,Africa/Mbabane,Africa/Mbabane
tzdata2012b,tzdata2012c,Zone,Africa/Dar_es_Salaam,Africa/Dar_es_Salaam
tzdata2012b,tzdata2012c,Zone,Africa/Lome,Africa/Lome
tzdata2012b,tzdata2012c,Rule,Africa/Tunis,Tunisia
tzdata2012b,tzdata2012c,Zone,Africa/Tunis,Africa/Tunis
tzdata2012b,tzdata2012c,Zone,Africa/Kampala,Africa/Kampala
tzdata2012b,tzdata2012c,Zone,Africa/Lusaka,Africa/Lusaka
tzdata2012b,tzdata2012c,Zone,Africa/Harare,Africa/Harare
tzdata2012b,tzdata2012c,Zone,Asia/Gaza,Asia/Gaza
tzdata2012b,tzdata2012c,Zone,Asia/Hebron,Asia/Hebron
tzdata2012b,tzdata2012c,Rule,Asia/Damascus,Syria
tzdata2012d,tzdata2012e,Zone,Pacific/Fakaofo,Pacific/Fakaofo
tzdata2012e,tzdata2012f,Rule,Pacific/Fiji,Fiji
tzdata2012f,tzdata2012g,Zone,Asia/Gaza,Asia/Gaza
tzdata2012f,tzdata2012g,Zone,Asia/Hebron,Asia/Hebron
tzdata2012f,tzdata2012g,Zone,Pacific/Apia,Pacific/Apia
tzdata2012g,tzdata2012h,Rule,Asia/Jerusalem,Zion
tzdata2012g,tzdata2012h,Rule,Asia/Amman,Jordan
tzdata2012g,tzdata2012h,Zone,America/Araguaina,America/Araguaina
tzdata2012g,tzdata2012h,Zone,America/Bahia,America/Bahia
tzdata2012h,tzdata2012i,Rule,America/Havana,Cuba
tzdata2012i,tzdata2012j,Zone,Africa/Tripoli,Africa/Tripoli
tzdata2012j,tzdata2013a,Zone,Africa/Gaborone,Africa/Gaborone
tzdata2012j,tzdata2013a,Zone,Africa/Cairo,Africa/Cairo
tzdata2012j,tzdata2013a,Rule,Antarctica/Casey,ChileAQ
tzdata2012j,tzdata2013a,Zone,Asia/Rangoon,Asia/Rangoon
tzdata2012j,tzdata2013a,Zone,Asia/Shanghai,Asia/Shanghai
tzdata2012j,tzdata2013a,Zone,Asia/Hong_Kong,Asia/Hong_Kong
tzdata2012j,tzdata2013a,Zone,Asia/Muscat,Asia/Muscat
tzdata2012j,tzdata2013a,Zone,Asia/Aden,Asia/Aden
tzdata2012j,tzdata2013a,Zone,Pacific/Fiji,Pacific/Fiji
tzdata2012j,tzdata2013a,Zone,Europe/Vienna,Europe/Vienna
tzdata2012j,tzdata2013a,Zone,America/Nassau,America/Nassau
tzdata2012j,tzdata2013a,Zone,America/Barbados,America/Barbados
tzdata2012j,tzdata2013a,Zone,Atlantic/Bermuda,Atlantic/Bermuda
tzdata2012j,tzdata2013a,Zone,America/Costa_Rica,America/Costa_Rica
tzdata2012j,tzdata2013a,Rule,America/Santiago,Chile
tzdata2012j,tzdata2013a,Zone,America/Bogota,America/Bogota
tzdata2012j,tzdata2013a,Zone,America/Curacao,America/Curacao
tzdata2013a,tzdata2013b,Rule,America/Port-au-Prince,Haiti
tzdata2013b,tzdata2013c,Rule,Antarctica/Casey,AusAQ
tzdata2013b,tzdata2013c,Rule,Antarctica/Casey,ATAQ
tzdata2013b,tzdata2013c,Zone,Antarctica/Macquarie,Antarctica/Macquarie
tzdata2013b,tzdata2013c,Rule,Asia/Gaza,Palestine
tzdata2013b,tzdata2013c,Zone,Asia/Gaza,Asia/Gaza
tzdata2013b,tzdata2013c,Zone,Asia/Hebron,Asia/Hebron
tzdata2013b,tzdata2013c,Rule,America/Asuncion,Para
tzdata2013c,tzdata2013d,Rule,Asia/Jerusalem,Zion
tzdata2013c,tzdata2013d,Zone,Asia/Jerusalem,Asia/Jerusalem
tzdata2013c,tzdata2013d,Zone,Antarctica/Macquarie,Antarctica/Macquarie
tzdata2013d,tzdata2013e,Zone,Antarctica/McMurdo,Antarctica/McMurdo
tzdata2013d,tzdata2013e,Link,Antarctica/McMurdo,Antarctica/South_Pole
tzdata2013d,tzdata2013e,Zone,Asia/Dili,Asia/Dili
tzdata2013d,tzdata2013e,Zone,Asia/Jakarta,Asia/Jakarta
tzdata2013d,tzdata2013e,Zone,Asia/Pontianak,Asia/Pontianak
tzdata2013d,tzdata2013e,Zone,Asia/Makassar,Asia/Makassar
tzdata2013d,tzdata2013e,Zone,Asia/Jayapura,Asia/Jayapura
tzdata2013d,tzdata2013e,Rule,Pacific/Fiji,Fiji
tzdata2013d,tzdata2013e,Zone,Pacific/Johnston,Pacific/Johnston
tzdata2013d,tzdata2013e,Link,America/St_Thomas,America/Virgin
tzdata2013d,tzdata2013e,Zone,Europe/Vaduz,Europe/Vaduz
tzdata2013d,tzdata2013e,Zone,Europe/Zurich,Europe/Zurich
tzdata2013d,tzdata2013e,Zone,America/Thunder_Bay,America/Thunder_Bay
tzdata2013d,tzdata2013e,Zone,America/Anguilla,America/Anguilla
tzdata2013d,tzdata2013e,Zone,Atlantic/Bermuda,Atlantic/Bermuda
tzdata2013d,tzdata2013e,Zone,America/Cayman,America/Cayman
tzdata2013d,tzdata2013e,Zone,America/Dominica,America/Dominica
tzdata2013d,tzdata2013e,Zone,America/Grenada,America/Grenada
tzdata2013d,tzdata2013e,Zone,America/Guadeloupe,America/Guadeloupe
tzdata2013d,tzdata2013e,Link,America/Guadeloupe,America/St_Barthelemy
tzdata2013d,tzdata2013e,Link,America/Guadeloupe,America/Marigot
tzdata2013d,tzdata2013e,Zone,America/Jamaica,America/Jamaica
tzdata2013d,tzdata2013e,Zone,America/Montserrat,America/Montserrat
tzdata2013d,tzdata2013e,Zone,America/St_Kitts,America/St_Kitts
